id_model;MODELO
FUSION 2.5L GAS/ELECT;FUSION 2.5L GAS/ELECT
FUSION 2.5L I4 IVCT, 2.0L;FUSION 2.5L I4 IVCT, 2.0L
GRAND MARQUIS 4.6L;GRAND MARQUIS 4.6L
KA 1.6L;KA 1.6L
LOBO TODAS LAS VERSIONES;LOBO TODAS LAS VERSIONES
MONDEO 2.0L, 2.5L;MONDEO 2.0L, 2.5L
MUSTANG;MUSTANG
MUSTANG 4.6L;MUSTANG 4.6L
MUSTANG 4.6L GT Y COBRA;MUSTANG 4.6L GT Y COBRA
MUSTANG 4.6L GT Y COBRA (1);MUSTANG 4.6L GT Y COBRA (1)
MUSTANG 4.6L, 4.0L, SHELBY 5.4L;MUSTANG 4.6L, 4.0L, SHELBY 5.4L
MUSTANG COUPE, GT 3.7L, 4.0L, 5.0L;MUSTANG COUPE, GT 3.7L, 4.0L, 5.0L
MUSTANG CZE;MUSTANG CZE
MUSTANG GT500 SHELBY;MUSTANG GT500 SHELBY
MYSTIQUE 2.0L, 2.5L;MYSTIQUE 2.0L, 2.5L
PATRULLA 4.6L CROWN VICTORIA;PATRULLA 4.6L CROWN VICTORIA
PATRULLA INTERCEPTOR FWD, 3.5L,;PATRULLA INTERCEPTOR FWD, 3.5L,
PICK UP F-SERIES;PICK UP F-SERIES
POLICE INTERCEPTOR;POLICE INTERCEPTOR
RANGER 2.3L;RANGER 2.3L
RANGER 2.5L;RANGER 2.5L
RANGER ARGENTINA;RANGER ARGENTINA
RAPTOR;RAPTOR
SABLE 3.0L 24V;SABLE 3.0L 24V
TAURUS;TAURUS
THUNDERBIRD 3.9L DOHC EFI;THUNDERBIRD 3.9L DOHC EFI
TRANSIT;TRANSIT
TRANSIT 2.2L DIESEL;TRANSIT 2.2L DIESEL
WINDSTAR 3.8L LX;WINDSTAR 3.8L LX
WINDSTAR 3.8L LXS;WINDSTAR 3.8L LXS
ACADIA;ACADIA
CANYON;CANYON
SIERRA;SIERRA
TERRAIN;TERRAIN
YUKON;YUKON
ACCORD;ACCORD
ACCORD 2.3L;ACCORD 2.3L
ACCORD 2.4L, T/A;ACCORD 2.4L, T/A
ACCORD 2.4L, T/STD;ACCORD 2.4L, T/STD
CITY;CITY
CIVIC HYBRID;CIVIC HYBRID
CIVIC, COUPE;CIVIC, COUPE
CR-V  CRV;CR-V  CRV
CROSSTOUR;CROSSTOUR
ELEMENT;ELEMENT
ODYSSEY (LX, EXL, TOURING);ODYSSEY (LX, EXL, TOURING)
PILOT;PILOT
RIDGELINE;RIDGELINE
ACCENT;ACCENT
ATOS;ATOS
AZERA;AZERA
DINASTY;DINASTY
ELANTRA;ELANTRA
EXELL;EXELL
EQUUS;EQUUS
GENESIS GLX, COUPE;GENESIS GLX, COUPE
GALLOPER;GALLOPER
GETZ;GETZ
GRACE VAN;GRACE VAN
H1;H1
H100 MINI VAN;H100 MINI VAN
H100 TRUCK;H100 TRUCK
HD;HD
I10, I30;I10, I30
MATRIX;MATRIX
PONY;PONY
PORTER H100;PORTER H100
SANTA FE;SANTA FE
SCOUPE;SCOUPE
SANTAMO;SANTAMO
SONATA;SONATA
STELLAR;STELLAR
TERRACAN;TERRACAN
TIBURON;TIBURON
TRAJET;TRAJET
TUCSON;TUCSON
VERACRUZ;VERACRUZ
XG 300;XG 300
XG 350;XG 350
H2;H2
H3, T;H3, T
FX;FX
G COUPE, SEDAN;G COUPE, SEDAN
G37 COUPE, SEDAN;G37 COUPE, SEDAN
I30;I30
JX;JX
M;M
M37;M37
Q45;Q45
QX;QX
F-TYPE;F-TYPE
S-TYPE;S-TYPE
X-TYPE 2.5L, 3.0L;X-TYPE 2.5L, 3.0L
XF-SERIES;XF-SERIES
XJ SERIES;XJ SERIES
XK SERIES;XK SERIES
XKR SERIES;XKR SERIES
COMMANDER;COMMANDER
COMPASS;COMPASS
GRAND CHEROKEE;GRAND CHEROKEE
GRAND CHEROKEE 4.0L;GRAND CHEROKEE 4.0L
JEEP CHEROKEE;JEEP CHEROKEE
JEEP H100 (PICK UP, CHASIS CAB);JEEP H100 (PICK UP, CHASIS CAB)
JEEP NITRO;JEEP NITRO
JEEP WRANGLER 2.5L;JEEP WRANGLER 2.5L
LIBERTY SPORT 4X2 Y 4X4;LIBERTY SPORT 4X2 Y 4X4
PATRIOT;PATRIOT
WRANGLER (SE, X, RUBICON);WRANGLER (SE, X, RUBICON)
DEFENDER;DEFENDER
DISCOVERY (S, SE, HSE);DISCOVERY (S, SE, HSE)
EVOQUE;EVOQUE
FREELANDER;FREELANDER
FREELANDER (S, SE, SE3, HSE);FREELANDER (S, SE, SE3, HSE)
LR2;LR2
LR3;LR3
LR4;LR4
RANGE ROVER;RANGE ROVER
RANGE ROVER SPORT;RANGE ROVER SPORT
AVIATOR 4.6L;AVIATOR 4.6L
BLACKWOOD 5.4L;BLACKWOOD 5.4L
CONTINENTAL 4.6L;CONTINENTAL 4.6L
CX-5;CX-5
CX-7, GRAND TOURING, SPORT;CX-7, GRAND TOURING, SPORT
CX-9, GRAND TOURING, SPORT;CX-9, GRAND TOURING, SPORT
LS 3.9L, 3.0L;LS 3.9L, 3.0L
MARK LT;MARK LT
MARK VIII 4.6L;MARK VIII 4.6L
MAZDA;MAZDA
MKC;MKC
MKS 3.5L ECOBOOST;MKS 3.5L ECOBOOST
MKX 3.5L;MKX 3.5L
MKZ ECOBOOST GTDI 2.0L I4;MKZ ECOBOOST GTDI 2.0L I4
MKZ 2.0L ECOBOOST 3.5L , 3.7L;MKZ 2.0L ECOBOOST 3.5L , 3.7L
NAVIGATOR 5.4L;NAVIGATOR 5.4L
TOWN CAR 4.6L;TOWN CAR 4.6L
ZEPHYR 2.3L, 2.5L, 3.0L;ZEPHYR 2.3L, 2.5L, 3.0L
MAZDA 2;MAZDA 2
MAZDA 3 TODAS LAS VERSIONES;MAZDA 3 TODAS LAS VERSIONES
MAZDA 5, TOURING, TURBO;MAZDA 5, TOURING, TURBO
MAZDA 6 SPORT, GT, 2.4L, 3.7L;MAZDA 6 SPORT, GT, 2.4L, 3.7L
MAZDA 6, GRAND SPORT;MAZDA 6, GRAND SPORT
MX-5;MX-5
CLASE A, 160,190;CLASE A, 160,190
CLASE C TODAS LAS VERSIONES;CLASE C TODAS LAS VERSIONES
CLASE CL TODAS LAS VERSIONES;CLASE CL TODAS LAS VERSIONES
CLASE CLK TODAS LAS VERSIONES;CLASE CLK TODAS LAS VERSIONES
CLASE CLS TODAS LAS VERSIONES;CLASE CLS TODAS LAS VERSIONES
CLASE E TODAS LAS VERSIONES;CLASE E TODAS LAS VERSIONES
CLASE S TODAS LAS VERSIONES;CLASE S TODAS LAS VERSIONES
CLASE SL TODAS LAS VERSIONES;CLASE SL TODAS LAS VERSIONES
CLASE SLK TODAS LAS VERSIONES;CLASE SLK TODAS LAS VERSIONES
CLASE SLS;CLASE SLS
CLASE G TODAS LAS VER- SIONES;CLASE G TODAS LAS VER- SIONES
CLASE M TODAS LAS VER- SIONES;CLASE M TODAS LAS VER- SIONES
SPRINTER;SPRINTER
VITO COMFORT, VIP;VITO COMFORT, VIP
MARINER;MARINER
MILAN 3.0L;MILAN 3.0L
MONTEGO;MONTEGO
MONTEGO 3.0L;MONTEGO 3.0L
MG R75 (SEDAN,TOURER);MG R75 (SEDAN,TOURER)
MG TF;MG TF
MG TR;MG TR
MG ZT;MG ZT
COOPER;COOPER
MINI CLUBMAN, CONVERTIBLE;MINI CLUBMAN, CONVERTIBLE
MINI COOPER CHILI;MINI COOPER CHILI
MINI COOPER JCW;MINI COOPER JCW
MINI COOPER PEPPER;MINI COOPER PEPPER
MINI COOPER SALT;MINI COOPER SALT
MINI COUNTRYMAN;MINI COUNTRYMAN
ECLIPSE;ECLIPSE
ECLIPSE GT;ECLIPSE GT
ENDEAVOR;ENDEAVOR
GALANT;GALANT
GRANDIS 2.4L;GRANDIS 2.4L
L200 2.4L, 2.5L;L200 2.4L, 2.5L
LANCER, 2.2L, 2.4L;LANCER, 2.2L, 2.4L
MONTERO;MONTERO
MONTERO (LIMITED, SPORT XLS);MONTERO (LIMITED, SPORT XLS)
OUTLANDER 2.4L;OUTLANDER 2.4L
OUTLANDER 3.0L;OUTLANDER 3.0L
350Z (TOURING TM, TA);350Z (TOURING TM, TA)
370Z;370Z
ALMERA;ALMERA
ALTIMA (S, SE, SL);ALTIMA (S, SE, SL)
APRIO;APRIO
ARMADA;ARMADA
FRONTIER;FRONTIER
ICHI VAN;ICHI VAN
JUKE 1.6L;JUKE 1.6L
LUCINO 1.6L, 2.0L;LUCINO 1.6L, 2.0L
MARCH;MARCH
MAXIMA (SE, GLE);MAXIMA (SE, GLE)
MAXIMA 3.0L;MAXIMA 3.0L
MAXIMA 3.0L (SE, GLE);MAXIMA 3.0L (SE, GLE)
MICRA;MICRA
MURANO (SE AWD, SL2WD);MURANO (SE AWD, SL2WD)
NP300;NP300
PATHFINDER;PATHFINDER
PATHFINDER LE 4X2-4X4;PATHFINDER LE 4X2-4X4
PICK UP (DIESEL, KING CAB, CHASIS, ESTACAS);PICK UP (DIESEL, KING CAB, CHASIS, ESTACAS)
PLATINA (Q, K, K PLUS, A);PLATINA (Q, K, K PLUS, A)
QUEST (GLE GXE);QUEST (GLE GXE)
QUEST (S, SE, SL);QUEST (S, SE, SL)
ROUGE;ROUGE
SENTRA (SE,R,LE,GXE,XE);SENTRA (SE,R,LE,GXE,XE)
TIIDA, HATCH, SEDAN;TIIDA, HATCH, SEDAN
TITAN;TITAN
TSUBAME (GS, GST, GSX);TSUBAME (GS, GST, GSX)
TSURU (GSII, GSI, GSR 2000;TSURU (GSII, GSI, GSR 2000
URVAN;URVAN
VERSA;VERSA
VERSA, CVT;VERSA, CVT
X-TERRA;X-TERRA
X-TRAIL;X-TRAIL
107;107
307;307
406;406
407;407
508;508
607;607
3008;3008
206 CC;206 CC
206, 207;206, 207
207 CC;207 CC
207 CC, E;207 CC, E
3008 TURBO;3008 TURBO
308 CC;308 CC
308 RC;308 RC
308, CC;308, CC
EXPERT;EXPERT
GRAND RAID;GRAND RAID
MANAGER;MANAGER
PARTNER, PARTNER MAYA;PARTNER, PARTNER MAYA
RCZ TURBO;RCZ TURBO
APE DIESEL;APE DIESEL
APE GASOLINA;APE GASOLINA
PORTER DIESEL;PORTER DIESEL
PORTER GASOLINA;PORTER GASOLINA
AZTEK;AZTEK
BONEVILLE;BONEVILLE
G3;G3
G4;G4
G5;G5
G6;G6
GRAND AM;GRAND AM
GRAND PRIX;GRAND PRIX
MATIZ;MATIZ
SOLSTICE;SOLSTICE
SUNFIRE GT 2.2L, 2.4L;SUNFIRE GT 2.2L, 2.4L
TORRENT;TORRENT
911 TODAS LAS VERSIONES;911 TODAS LAS VERSIONES
BOXTER TODAS LAS VERSIONES;BOXTER TODAS LAS VERSIONES
CAYENNE TODAS LAS VER- SIONES;CAYENNE TODAS LAS VER- SIONES
PANAMERA TODAS LAS VERSIONES;PANAMERA TODAS LAS VERSIONES
CLIO;CLIO
CLIO (SPORT);CLIO (SPORT)
DUSTER;DUSTER
FLUENCE;FLUENCE
KANGOO;KANGOO
KOLEOS;KOLEOS
LAGUNA (GRAND TOUR);LAGUNA (GRAND TOUR)
MEGANE;MEGANE
MEGANE, GT, II, III, RS, SS;MEGANE, GT, II, III, RS, SS
SAFRANE;SAFRANE
SANDERO;SANDERO
SCALA;SCALA
SCENIC;SCENIC
STEPWAY;STEPWAY
TRAFIC;TRAFIC
93;93
95;95
ALHAMBRA;ALHAMBRA
ALTEA XL;ALTEA XL
BOCA NEGRA;BOCA NEGRA
CORDOBA;CORDOBA
EXCEO;EXCEO
FREETRACK;FREETRACK
IBIZA;IBIZA
LEÓN REFERENCE, STYLANCE;LEÓN REFERENCE, STYLANCE
LEON, FR, Z;LEON, FR, Z
TOLEDO;TOLEDO
BRABUS;BRABUS
CITY (FORTWO, FORFOUR);CITY (FORTWO, FORFOUR)
FORESTER;FORESTER
IMPREZA, 2.5i, 2.0r, WRX;IMPREZA, 2.5i, 2.0r, WRX
LEGACY, 2.0r, 2.5i, 3.0r;LEGACY, 2.0r, 2.5i, 3.0r
OUTBACK 2.5L XT;OUTBACK 2.5L XT
TRIBECA;TRIBECA
WRX;WRX
AERIO;AERIO
GRAND VITARA (GL. GLS);GRAND VITARA (GL. GLS)
KIZASHI 2.4L;KIZASHI 2.4L
PICK UP;PICK UP
SWIFT 1.3L;SWIFT 1.3L
SX4;SX4
XL7;XL7
4 RUNNER;4 RUNNER
4 RUNNER (SPORT, LIMITED, SR5);4 RUNNER (SPORT, LIMITED, SR5)
AVANZA;AVANZA
CAMRY (LE, XLE, SE);CAMRY (LE, XLE, SE)
COROLLA (CE, S, LE);COROLLA (CE, S, LE)
FJ CRUSIER;FJ CRUSIER
HIACE;HIACE
HIGHLANDER;HIGHLANDER
HILUX;HILUX
HILUX DOBLE CABINA, POWER, SR;HILUX DOBLE CABINA, POWER, SR
LAND CRUISER;LAND CRUISER
MATRIX (XR, XRS) 1.8L;MATRIX (XR, XRS) 1.8L
MATRIX (XR, XRS) 2.4L;MATRIX (XR, XRS) 2.4L
MR2 SPYDER;MR2 SPYDER
PRIUS;PRIUS
RAV4 (BASE, SPORT, LIMITED);RAV4 (BASE, SPORT, LIMITED)
SEQUOIA LIMITED, PLATINUM, SR5;SEQUOIA LIMITED, PLATINUM, SR5
SIENNA (CE, LE, XLE, LIMITED);SIENNA (CE, LE, XLE, LIMITED)
SOLARA;SOLARA
TACOMA;TACOMA
TUNDRA;TUNDRA
TUNDRA, D-CAB, LTD, SR5;TUNDRA, D-CAB, LTD, SR5
YARIS, SEDAN, HATCH;YARIS, SEDAN, HATCH
AMAROK;AMAROK
BEETLE GLS, GLX SPORT, TUR- BO CABRIO;BEETLE GLS, GLX SPORT, TUR- BO CABRIO
BORA (TODAS LAS VERSIONES);BORA (TODAS LAS VERSIONES)
CC;CC
COMBI/PANEL;COMBI/PANEL
CRAFTER;CRAFTER
CROSSFOX;CROSSFOX
DERBY TODAS LAS VERSIONES;DERBY TODAS LAS VERSIONES
EUROVAN (CARGA PASAJEROS);EUROVAN (CARGA PASAJEROS)
GOL;GOL
GOLF;GOLF
GOLF (TODAS LAS VERSIONES);GOLF (TODAS LAS VERSIONES)
GTI;GTI
JETTA;JETTA
JETTA (TODAS LAS VERSIONES);JETTA (TODAS LAS VERSIONES)
LUPO;LUPO
PASSAT 1.8L;PASSAT 1.8L
PASSAT 2.0L, 2.0L DIESEL;PASSAT 2.0L, 2.0L DIESEL
PASSAT 2.0L, 2.0L DIESEL, 2.0L CC;PASSAT 2.0L, 2.0L DIESEL, 2.0L CC
PASSAT 2.5L, 3.6L;PASSAT 2.5L, 3.6L
PASSAT 3.6L, 3.6L CC;PASSAT 3.6L, 3.6L CC
PASSAT W8 4.0L;PASSAT W8 4.0L
POINTER TODAS LAS VERSIONES;POINTER TODAS LAS VERSIONES
POLO TODAS LAS VERSIONES;POLO TODAS LAS VERSIONES
ROUTAN;ROUTAN
SAVEIRO;SAVEIRO
SEDAN 1.6 FI (1);SEDAN 1.6 FI (1)
SHARAN;SHARAN
SPORT VAN;SPORT VAN
TIGUAN;TIGUAN
TOUAREG;TOUAREG
TRANSPORTER;TRANSPORTER
VENTO;VENTO
C30;C30
C70 COUPE, CONVERTIBLE;C70 COUPE, CONVERTIBLE
S40;S40
S60;S60
S70;S70
S80;S80
V40;V40
V50;V50
V60;V60
V70;V70
V90;V90
XC60;XC60
XC70;XC70
XC80;XC80
XC90;XC90
